vehicle,site_xn_route,direction,loc_leg,month,day,y2018,y2019,y2020,ratio,tis_data_request,lat,long,loc_desc,x7,x8,version_2,x10,revision_date,x12,x29_09_2016
cycle,6415,E,59485,2,8,NA,999,402,0.402402402,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,2,9,NA,207,464,2.241545894,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,2,15,NA,1028,122,0.118677043,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,2,16,NA,882,568,0.64399093,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,2,22,NA,981,627,0.639143731,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,2,23,NA,524,494,0.942748092,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,3,1,NA,866,379,0.437644342,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,3,8,NA,980,474,0.483673469,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,3,9,NA,460,544,1.182608696,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,3,15,NA,1026,411,0.400584795,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
cycle,6415,E,59485,3,24,NA,472,641,1.358050847,D208,-37.827,144.984,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,NA,NA,NA,NA,NA,NA,NA
