date,n
Sat 25 Jun 2016,462
Sun 26 Jun 2016,555
Mon 27 Jun 2016,959
Tue 28 Jun 2016,1342
Wed 29 Jun 2016,1279
Thu 30 Jun 2016,747
Fri 1 Jul 2016,810
Sat 2 Jul 2016,501
Sun 3 Jul 2016,588
Mon 4 Jul 2016,1090
Tue 5 Jul 2016,817
Wed 6 Jul 2016,770
Thu 7 Jul 2016,771
Fri 8 Jul 2016,911
Sat 9 Jul 2016,662
Sun 10 Jul 2016,365
Mon 11 Jul 2016,1196
Tue 12 Jul 2016,931
Wed 13 Jul 2016,1005
Thu 14 Jul 2016,1195
Fri 15 Jul 2016,1037
Sat 16 Jul 2016,604
Sun 17 Jul 2016,636
Mon 18 Jul 2016,1212
Tue 19 Jul 2016,1395
Wed 20 Jul 2016,1412
Thu 21 Jul 2016,926
Fri 22 Jul 2016,640
Sat 23 Jul 2016,444
Sun 24 Jul 2016,451
Mon 25 Jul 2016,1106
Tue 26 Jul 2016,1143
Wed 27 Jul 2016,1184
Thu 28 Jul 2016,1273
Fri 29 Jul 2016,1027
Sat 30 Jul 2016,534
Sun 31 Jul 2016,655
Mon 1 Aug 2016,640
Tue 2 Aug 2016,1174
Wed 3 Aug 2016,1080
Thu 4 Aug 2016,1125
Fri 5 Aug 2016,895
Sat 6 Aug 2016,464
Sun 7 Aug 2016,472
Mon 8 Aug 2016,1053
Tue 9 Aug 2016,863
Wed 10 Aug 2016,858
Thu 11 Aug 2016,929
Fri 12 Aug 2016,1052
Sat 13 Aug 2016,669
Sun 14 Aug 2016,683
Mon 15 Aug 2016,1534
Tue 16 Aug 2016,1600
Wed 17 Aug 2016,1293
Thu 18 Aug 2016,1437
Fri 19 Aug 2016,695
Sat 20 Aug 2016,507
Sun 21 Aug 2016,312
Mon 22 Aug 2016,1072
Tue 23 Aug 2016,1474
Wed 24 Aug 2016,1458
Thu 25 Aug 2016,1085
Fri 26 Aug 2016,1121
Sat 27 Aug 2016,666
Sun 28 Aug 2016,650
Mon 29 Aug 2016,1610
Tue 30 Aug 2016,1274
Wed 31 Aug 2016,1380
Thu 1 Sep 2016,1390
Fri 2 Sep 2016,1124
Sat 3 Sep 2016,725
Sun 4 Sep 2016,621
Mon 5 Sep 2016,1721
Tue 6 Sep 2016,1780
Wed 7 Sep 2016,1821
Thu 8 Sep 2016,1596
Fri 9 Sep 2016,744
Sat 10 Sep 2016,448
Sun 11 Sep 2016,639
Mon 12 Sep 2016,1039
Tue 13 Sep 2016,768
Wed 14 Sep 2016,784
Thu 15 Sep 2016,1134
Fri 16 Sep 2016,1165
Sat 17 Sep 2016,754
Sun 18 Sep 2016,369
Mon 19 Sep 2016,1533
Tue 20 Sep 2016,1745
Wed 21 Sep 2016,901
Thu 22 Sep 2016,1187
Fri 23 Sep 2016,1281
Sat 24 Sep 2016,695
Sun 25 Sep 2016,582
Mon 26 Sep 2016,1144
Tue 27 Sep 2016,1342
Wed 28 Sep 2016,1355
Thu 29 Sep 2016,778
Fri 30 Sep 2016,560
Sat 1 Oct 2016,465
Sun 2 Oct 2016,469
Mon 3 Oct 2016,1203
Tue 4 Oct 2016,920
Wed 5 Oct 2016,1446
Thu 6 Oct 2016,1801
Fri 7 Oct 2016,1389
Sat 8 Oct 2016,990
Sun 9 Oct 2016,454
Mon 10 Oct 2016,1394
Tue 11 Oct 2016,1521
Wed 12 Oct 2016,1483
Thu 13 Oct 2016,1749
Fri 14 Oct 2016,1591
Sat 15 Oct 2016,767
Sun 16 Oct 2016,494
Mon 17 Oct 2016,1578
Tue 18 Oct 2016,1053
Wed 19 Oct 2016,1835
Thu 20 Oct 2016,1693
Fri 21 Oct 2016,715
Sat 22 Oct 2016,242
Sun 23 Oct 2016,331
Mon 24 Oct 2016,1603
Tue 25 Oct 2016,1840
Wed 26 Oct 2016,1526
Thu 27 Oct 2016,1595
Fri 28 Oct 2016,1539
Sat 29 Oct 2016,895
Sun 30 Oct 2016,503
Mon 31 Oct 2016,1154
Tue 1 Nov 2016,696
Wed 2 Nov 2016,1796
Thu 3 Nov 2016,2081
Fri 4 Nov 2016,1649
Sat 5 Nov 2016,591
Sun 6 Nov 2016,862
Mon 7 Nov 2016,1497
Tue 8 Nov 2016,1924
Wed 9 Nov 2016,1864
Thu 10 Nov 2016,1751
Fri 11 Nov 2016,1627
Sat 12 Nov 2016,634
Sun 13 Nov 2016,404
Mon 14 Nov 2016,894
Tue 15 Nov 2016,1849
Wed 16 Nov 2016,1927
Thu 17 Nov 2016,1910
Fri 18 Nov 2016,1626
Sat 19 Nov 2016,1012
Sun 20 Nov 2016,831
Mon 21 Nov 2016,1409
Tue 22 Nov 2016,825
Wed 23 Nov 2016,1188
Thu 24 Nov 2016,1446
Fri 25 Nov 2016,1435
Sat 26 Nov 2016,766
Sun 27 Nov 2016,605
Mon 28 Nov 2016,1936
Tue 29 Nov 2016,2171
Wed 30 Nov 2016,1868
Thu 1 Dec 2016,1892
Fri 2 Dec 2016,1576
Sat 3 Dec 2016,998
Sun 4 Dec 2016,654
Mon 5 Dec 2016,1672
Tue 6 Dec 2016,2088
Wed 7 Dec 2016,2109
Thu 8 Dec 2016,928
Fri 9 Dec 2016,1066
Sat 10 Dec 2016,809
Sun 11 Dec 2016,852
Mon 12 Dec 2016,1902
Tue 13 Dec 2016,1715
Wed 14 Dec 2016,1797
Thu 15 Dec 2016,1801
Fri 16 Dec 2016,1471
Sat 17 Dec 2016,838
Sun 18 Dec 2016,863
Mon 19 Dec 2016,1767
Tue 20 Dec 2016,1222
Wed 21 Dec 2016,1566
Thu 22 Dec 2016,1481
Fri 23 Dec 2016,1109
Sat 24 Dec 2016,444
Sun 25 Dec 2016,178
Mon 26 Dec 2016,301
Tue 27 Dec 2016,436
Wed 28 Dec 2016,614
Thu 29 Dec 2016,458
Fri 30 Dec 2016,692
Sat 31 Dec 2016,682
Sun 1 Jan 2017,379
Mon 2 Jan 2017,368
Tue 3 Jan 2017,1266
Wed 4 Jan 2017,1390
Thu 5 Jan 2017,1201
Fri 6 Jan 2017,1090
Sat 7 Jan 2017,434
Sun 8 Jan 2017,567
Mon 9 Jan 2017,1741
Tue 10 Jan 2017,1989
Wed 11 Jan 2017,1936
Thu 12 Jan 2017,1887
Fri 13 Jan 2017,845
Sat 14 Jan 2017,781
Sun 15 Jan 2017,898
Mon 16 Jan 2017,1909
Tue 17 Jan 2017,1596
Wed 18 Jan 2017,1660
Thu 19 Jan 2017,1921
Fri 20 Jan 2017,767
Sat 21 Jan 2017,933
Sun 22 Jan 2017,871
Mon 23 Jan 2017,1596
Tue 24 Jan 2017,1981
Wed 25 Jan 2017,1948
Thu 26 Jan 2017,1032
Fri 27 Jan 2017,1473
Sat 28 Jan 2017,925
Sun 29 Jan 2017,991
Mon 30 Jan 2017,1740
Tue 31 Jan 2017,2146
Wed 1 Feb 2017,2187
Thu 2 Feb 2017,2171
Fri 3 Feb 2017,2066
Sat 4 Feb 2017,956
Sun 5 Feb 2017,698
Mon 6 Feb 2017,1237
Tue 7 Feb 2017,2477
Wed 8 Feb 2017,2049
Thu 9 Feb 2017,1581
Fri 10 Feb 2017,1923
Sat 11 Feb 2017,1092
Sun 12 Feb 2017,649
Mon 13 Feb 2017,2021
Tue 14 Feb 2017,1859
Wed 15 Feb 2017,2161
Thu 16 Feb 2017,2116
Fri 17 Feb 2017,2021
Sat 18 Feb 2017,859
Sun 19 Feb 2017,548
Mon 20 Feb 2017,1793
Tue 21 Feb 2017,2392
Wed 22 Feb 2017,2124
Thu 23 Feb 2017,2188
Fri 24 Feb 2017,1497
Sat 25 Feb 2017,1010
Sun 26 Feb 2017,1049
Mon 27 Feb 2017,2165
Tue 28 Feb 2017,2320
Wed 1 Mar 2017,2250
Thu 2 Mar 2017,2350
Fri 3 Mar 2017,1878
Sat 4 Mar 2017,1130
Sun 5 Mar 2017,957
Mon 6 Mar 2017,2325
Tue 7 Mar 2017,2404
Wed 8 Mar 2017,2351
Thu 9 Mar 2017,2265
Fri 10 Mar 2017,1842
Sat 11 Mar 2017,834
Sun 12 Mar 2017,653
Mon 13 Mar 2017,1008
Tue 14 Mar 2017,2289
Wed 15 Mar 2017,2266
Thu 16 Mar 2017,1510
Fri 17 Mar 2017,2009
Sat 18 Mar 2017,1036
Sun 19 Mar 2017,1028
Mon 20 Mar 2017,1656
Tue 21 Mar 2017,1359
Wed 22 Mar 2017,1795
Thu 23 Mar 2017,2213
Fri 24 Mar 2017,1963
Sat 25 Mar 2017,972
Sun 26 Mar 2017,963
Mon 27 Mar 2017,1978
Tue 28 Mar 2017,2509
Wed 29 Mar 2017,2194
Thu 30 Mar 2017,1898
Fri 31 Mar 2017,1616
Sat 1 Apr 2017,883
Sun 2 Apr 2017,842
Mon 3 Apr 2017,2192
Tue 4 Apr 2017,2284
Wed 5 Apr 2017,2194
Thu 6 Apr 2017,2170
Fri 7 Apr 2017,1849
Sat 8 Apr 2017,809
Sun 9 Apr 2017,225
Mon 10 Apr 2017,729
Tue 11 Apr 2017,1710
Wed 12 Apr 2017,1953
Thu 13 Apr 2017,1770
Fri 14 Apr 2017,625
Sat 15 Apr 2017,639
Sun 16 Apr 2017,542
Mon 17 Apr 2017,694
Tue 18 Apr 2017,1890
Wed 19 Apr 2017,2112
Thu 20 Apr 2017,2086
Fri 21 Apr 2017,825
Sat 22 Apr 2017,791
Sun 23 Apr 2017,899
Mon 24 Apr 2017,1283
Tue 25 Apr 2017,416
Wed 26 Apr 2017,798
Thu 27 Apr 2017,974
Fri 28 Apr 2017,1536
Sat 29 Apr 2017,748
Sun 30 Apr 2017,822
Mon 1 May 2017,1857
Tue 2 May 2017,1864
Wed 3 May 2017,1898
Thu 4 May 2017,1975
Fri 5 May 2017,1720
Sat 6 May 2017,692
Sun 7 May 2017,676
Mon 8 May 2017,1259
Tue 9 May 2017,1703
Wed 10 May 2017,1956
